City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Hohhot,CN,75.49,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
610,Kudahuvadhoo,MV,82.6,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
613,Arnprior,CA,73.49,overcast clouds,45.4334,-76.3494,Country Squire Motel
615,Mackay,AU,75.18,broken clouds,-21.15,149.2,International Lodge Motel
616,Butte,US,89.62,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
618,Pakokku,MM,89.91,overcast clouds,21.3333,95.1,Royal Palace Motel
620,Mabua,PH,76.89,moderate rain,9.8089,125.4422,Almont Beach Resort
621,Xingyi,CN,74.5,overcast clouds,24.1877,102.817,
622,Odweyne,SO,75.45,overcast clouds,9.4092,45.064,Eng Hiirey House
623,Zhangye,CN,83.57,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
624,Tucurui,BR,74.12,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
625,Wisconsin Rapids,US,70.83,clear sky,44.3836,-89.8174,Hotel Mead & Conference Center
626,Puerto Penasco,MX,87.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
627,Shaoguan,CN,89.49,overcast clouds,24.8,113.5833,Shangcheng Hotel
629,Mareeba,AU,73.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
630,Guiyang,CN,70.29,light rain,26.5833,106.7167,Guo Tai Hotel Guiyang
632,Olinda,BR,73.13,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
635,Digri,PK,86.18,scattered clouds,25.1558,69.1113,Sindh Green Hotel
636,Doka,SD,70.52,broken clouds,13.5167,35.7667,
637,Brigantine,US,70.07,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
638,Bucerias,MX,79.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
639,Armeria,MX,81.7,overcast clouds,18.9333,-103.9667,Hotel la Herradura
641,Polonnaruwa,LK,90.23,broken clouds,7.9333,81.0,Thisara Guest House
642,Wanning,CN,89.71,overcast clouds,18.8003,110.3967,Paradise Hotel
644,Iracoubo,GF,77.27,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
645,Cam Ranh,VN,91.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
646,Kalmunai,LK,85.15,overcast clouds,7.4167,81.8167,VS Villa
649,Naze,JP,79.72,clear sky,28.3667,129.4833,Amami Port Tower Hotel
650,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
653,Palmer,US,72.77,overcast clouds,42.1584,-72.3287,Wedgewood Motel
655,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Ecotur Lodge
657,Longhua,CN,87.8,light rain,23.6137,114.1919,Huadu Hotel
658,Dingle,PH,79.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
659,Yatou,CN,83.01,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
660,Vilhena,BR,69.46,clear sky,-12.7406,-60.1458,Hotel Mirage
663,Coos Bay,US,76.86,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
664,Uruzgan,AF,82.96,clear sky,32.8333,66.0,
665,Tala,EG,74.91,few clouds,30.6803,30.9429,مصطفى اشرف
666,Gainesville,US,77.83,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
668,Shaowu,CN,89.1,scattered clouds,27.3409,117.4831,Yijie Express Hotel
669,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
670,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
671,Jiexiu,CN,89.06,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
672,Safaga,EG,87.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
